,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area,Longitude,Latitude
282,3,2,2,07/01/2018,1,17:50,6,30,4,1,1,0,1,-0.18997,51.515661
283,3,2,1,07/01/2018,1,15:18,6,30,1,1,1,0,1,-0.125826,51.459618
284,3,1,1,07/01/2018,1,17:00,6,30,4,1,1,0,1,-0.101099,51.590513
285,3,2,1,07/01/2018,1,18:30,2,30,4,1,1,0,1,-0.173582,51.604613
286,3,2,1,07/01/2018,1,19:05,1,20,4,1,1,0,1,-0.05062,51.531952
287,3,2,2,07/01/2018,1,19:51,6,30,4,1,1,0,1,-0.125718,51.416541
288,2,2,1,07/01/2018,1,19:24,3,20,4,1,1,0,1,-0.125935,51.590373
289,3,2,1,07/01/2018,1,20:18,6,20,4,1,1,0,1,-0.096989,51.602496
290,2,1,1,07/01/2018,1,17:30,6,30,4,1,1,0,1,0.11294,51.402319
291,3,1,1,07/01/2018,1,17:50,2,30,4,1,1,0,1,-0.20742,51.519076
